R,I,A,S,E,C,Dominant,Occupation,Major
12,12,31,32,24,21,S,Rehabilitation Counselors,Rehabilitation Counseling
27,17,12,3,13,9,R,Firefighters,Fire Science
16,16,14,24,33,6,E,Sales Managers,Business Administration
35,36,39,9,37,27,A,Graphic Designers,Graphic Design
39,11,39,3,32,35,R,Automotive Technicians,Automotive Technology
27,32,34,25,40,6,E,Sales Managers,Business Administration
7,16,2,29,5,40,C,Administrative Assistants,Office Administration
5,21,36,17,32,32,A,Graphic Designers,Graphic Design
35,28,11,3,10,28,R,Automotive Technicians,Automotive Technology
34,38,13,39,40,2,E,Sales Managers,Business Administration
5,0,0,8,5,5,S,Social Workers,Social Work
16,18,32,29,4,14,A,Musicians,Music
11,2,9,32,22,11,S,Rehabilitation Counselors,Rehabilitation Counseling
0,19,18,25,35,23,E,Real Estate Agents,Real Estate
36,27,25,39,33,31,S,Rehabilitation Counselors,Rehabilitation Counseling
6,14,33,22,9,0,A,Musicians,Music
29,34,7,12,6,12,I,Physicists,Physics
35,27,33,27,0,10,R,Automotive Technicians,Automotive Technology
2,37,2,36,6,23,I,Physicists,Physics
40,29,21,16,13,36,R,Automotive Technicians,Automotive Technology
3,39,37,17,16,6,I,Physicists,Physics
38,37,38,11,4,27,R,Firefighters,Fire Science
31,5,6,13,19,21,R,Automotive Technicians,Automotive Technology
40,27,1,21,0,32,R,Automotive Technicians,Automotive Technology
1,25,12,28,40,36,E,Sales Managers,Business Administration
1,9,24,32,3,31,S,Social Workers,Social Work
29,7,34,10,11,40,C,Accountants,Accounting
10,28,40,8,21,11,A,Musicians,Music
16,28,19,15,13,36,C,Administrative Assistants,Office Administration
22,39,34,16,30,16,I,Computer Scientists,Computer Science
13,27,3,2,30,20,E,Real Estate Agents,Real Estate
38,19,8,12,11,6,R,Firefighters,Fire Science
6,12,20,13,8,21,C,Accountants,Accounting
34,0,40,35,29,5,A,Musicians,Music
32,4,39,26,8,39,A,Musicians,Music
28,8,36,11,1,22,A,Graphic Designers,Graphic Design
16,24,40,19,18,31,A,Graphic Designers,Graphic Design
0,4,28,0,9,33,C,Administrative Assistants,Office Administration
40,37,7,38,4,28,R,Automotive Technicians,Automotive Technology
16,17,24,27,30,3,E,Real Estate Agents,Real Estate
33,23,18,13,12,26,R,Automotive Technicians,Automotive Technology
27,36,10,30,24,29,I,Computer Scientists,Computer Science
32,3,17,22,12,18,R,Automotive Technicians,Automotive Technology
19,29,0,6,22,10,I,Computer Scientists,Computer Science
0,25,3,2,27,37,C,Accountants,Accounting
36,27,12,9,34,11,R,Firefighters,Fire Science
23,26,28,17,28,7,A,Graphic Designers,Graphic Design
31,8,2,34,33,19,S,Rehabilitation Counselors,Rehabilitation Counseling
22,35,12,6,20,22,I,Computer Scientists,Computer Science
12,39,2,19,8,6,I,Computer Scientists,Computer Science
26,6,30,36,31,20,S,Social Workers,Social Work
17,29,5,24,38,32,E,Real Estate Agents,Real Estate
5,27,18,37,13,3,S,Social Workers,Social Work
18,19,0,8,40,2,E,Real Estate Agents,Real Estate
5,35,15,13,22,15,I,Physicists,Physics
1,4,17,4,1,25,C,Administrative Assistants,Office Administration
17,36,29,33,33,0,I,Computer Scientists,Computer Science
9,29,11,9,18,33,C,Administrative Assistants,Office Administration
32,28,7,19,28,16,R,Automotive Technicians,Automotive Technology
32,24,30,14,35,38,C,Administrative Assistants,Office Administration
39,24,28,25,20,1,R,Automotive Technicians,Automotive Technology
39,34,26,33,18,0,R,Automotive Technicians,Automotive Technology
8,37,17,27,24,21,I,Physicists,Physics
24,35,5,36,20,24,S,Social Workers,Social Work
1,12,27,2,30,23,E,Real Estate Agents,Real Estate
12,17,18,38,2,4,S,Rehabilitation Counselors,Rehabilitation Counseling
29,32,15,38,37,14,S,Rehabilitation Counselors,Rehabilitation Counseling
27,25,26,4,31,2,E,Sales Managers,Business Administration
11,24,2,2,30,15,E,Real Estate Agents,Real Estate
39,23,34,31,15,39,R,Firefighters,Fire Science
26,15,12,27,35,38,C,Accountants,Accounting
39,39,24,23,38,35,R,Automotive Technicians,Automotive Technology
37,9,17,39,28,3,S,Social Workers,Social Work
3,29,7,12,14,28,I,Physicists,Physics
27,8,9,24,25,27,R,Automotive Technicians,Automotive Technology
35,15,35,39,15,37,S,Rehabilitation Counselors,Rehabilitation Counseling
35,23,40,25,30,40,A,Graphic Designers,Graphic Design
40,35,8,26,13,10,R,Firefighters,Fire Science
27,21,22,29,7,38,C,Accountants,Accounting
32,34,34,38,8,12,S,Rehabilitation Counselors,Rehabilitation Counseling
35,17,25,25,7,17,R,Firefighters,Fire Science
35,15,19,4,3,32,R,Automotive Technicians,Automotive Technology
16,35,21,11,30,37,C,Accountants,Accounting
36,10,6,29,32,33,R,Firefighters,Fire Science
1,16,26,22,8,16,A,Musicians,Music
18,38,31,16,32,36,I,Physicists,Physics
9,6,16,39,36,26,S,Social Workers,Social Work
19,26,0,11,35,35,E,Sales Managers,Business Administration
9,20,25,17,38,37,E,Real Estate Agents,Real Estate
38,30,11,37,35,19,R,Automotive Technicians,Automotive Technology
2,22,7,13,26,5,E,Real Estate Agents,Real Estate
26,37,30,26,24,19,I,Physicists,Physics
33,27,21,22,1,31,R,Firefighters,Fire Science
25,16,33,11,23,7,A,Musicians,Music
14,28,26,11,22,10,I,Computer Scientists,Computer Science
13,7,20,5,11,10,A,Graphic Designers,Graphic Design
18,4,35,12,37,6,E,Sales Managers,Business Administration
32,31,7,19,32,17,R,Automotive Technicians,Automotive Technology
15,20,8,1,14,36,C,Accountants,Accounting
12,36,14,31,14,32,I,Computer Scientists,Computer Science
8,20,30,25,26,38,C,Administrative Assistants,Office Administration
6,38,20,33,37,30,I,Computer Scientists,Computer Science
25,21,1,28,23,19,S,Rehabilitation Counselors,Rehabilitation Counseling
12,33,39,38,22,19,A,Musicians,Music
14,4,36,31,25,35,A,Graphic Designers,Graphic Design
6,35,24,9,13,0,I,Physicists,Physics
18,10,14,4,26,34,C,Accountants,Accounting
39,38,34,13,14,25,R,Automotive Technicians,Automotive Technology
31,8,19,22,27,33,C,Administrative Assistants,Office Administration
30,38,2,15,23,40,C,Administrative Assistants,Office Administration
10,8,1,26,8,11,S,Rehabilitation Counselors,Rehabilitation Counseling
27,31,15,30,14,3,I,Computer Scientists,Computer Science
2,22,33,2,11,5,A,Graphic Designers,Graphic Design
4,39,0,27,25,17,I,Computer Scientists,Computer Science
22,36,11,5,11,21,I,Computer Scientists,Computer Science
24,21,18,31,10,29,S,Social Workers,Social Work
8,40,3,13,29,16,I,Computer Scientists,Computer Science
36,28,3,10,22,19,R,Firefighters,Fire Science
9,6,4,24,4,15,S,Rehabilitation Counselors,Rehabilitation Counseling
10,27,18,25,7,25,I,Computer Scientists,Computer Science
22,17,9,10,17,15,R,Automotive Technicians,Automotive Technology
38,27,28,19,33,7,R,Firefighters,Fire Science
38,17,2,40,21,0,S,Rehabilitation Counselors,Rehabilitation Counseling
26,6,15,19,34,18,E,Sales Managers,Business Administration
25,23,6,37,13,8,S,Rehabilitation Counselors,Rehabilitation Counseling
36,18,28,35,11,26,R,Automotive Technicians,Automotive Technology
37,3,18,25,19,6,R,Automotive Technicians,Automotive Technology
12,16,6,5,2,9,I,Computer Scientists,Computer Science
35,32,35,31,9,37,C,Administrative Assistants,Office Administration
10,12,40,40,7,31,A,Musicians,Music
3,13,15,35,10,26,S,Rehabilitation Counselors,Rehabilitation Counseling
20,8,1,10,26,25,E,Sales Managers,Business Administration
8,37,26,25,18,30,I,Computer Scientists,Computer Science
12,3,40,1,32,13,A,Musicians,Music
33,15,35,19,6,30,A,Musicians,Music
19,31,40,38,3,19,A,Graphic Designers,Graphic Design
23,29,26,15,21,25,I,Computer Scientists,Computer Science
1,1,22,3,13,0,A,Musicians,Music
12,32,6,33,24,38,C,Accountants,Accounting
0,5,31,2,24,5,A,Graphic Designers,Graphic Design
23,38,32,0,2,40,C,Administrative Assistants,Office Administration
36,35,37,37,11,9,A,Musicians,Music
9,37,39,34,11,17,A,Graphic Designers,Graphic Design
9,27,3,36,38,34,E,Real Estate Agents,Real Estate
0,2,13,1,35,27,E,Real Estate Agents,Real Estate
5,11,38,16,39,23,E,Real Estate Agents,Real Estate
17,30,34,16,36,29,E,Real Estate Agents,Real Estate
27,14,18,35,39,32,E,Sales Managers,Business Administration
13,8,33,35,1,16,S,Social Workers,Social Work
38,25,24,26,11,29,R,Firefighters,Fire Science
2,33,9,27,34,40,C,Administrative Assistants,Office Administration
33,17,16,14,15,20,R,Automotive Technicians,Automotive Technology
5,27,17,31,2,24,S,Social Workers,Social Work
29,38,14,35,2,15,I,Computer Scientists,Computer Science
1,5,25,4,6,4,A,Musicians,Music
29,22,26,38,11,19,S,Social Workers,Social Work
38,35,4,32,7,12,R,Firefighters,Fire Science
24,18,4,40,16,1,S,Social Workers,Social Work
25,7,19,2,30,14,E,Real Estate Agents,Real Estate
22,2,33,11,4,35,C,Accountants,Accounting
4,3,11,36,0,11,S,Rehabilitation Counselors,Rehabilitation Counseling
4,20,30,25,16,19,A,Graphic Designers,Graphic Design
3,0,28,33,24,34,C,Accountants,Accounting
12,39,6,29,7,20,I,Computer Scientists,Computer Science
23,14,19,13,8,13,R,Automotive Technicians,Automotive Technology
25,21,18,26,28,11,E,Sales Managers,Business Administration
38,20,22,40,38,3,S,Social Workers,Social Work
31,23,8,24,32,33,C,Administrative Assistants,Office Administration
1,37,6,33,4,22,I,Computer Scientists,Computer Science
1,17,7,17,36,31,E,Sales Managers,Business Administration
28,28,11,34,21,39,C,Accountants,Accounting
21,20,1,1,29,27,E,Real Estate Agents,Real Estate
12,24,5,14,11,23,I,Physicists,Physics
2,24,37,34,29,3,A,Musicians,Music
18,36,23,12,2,19,I,Physicists,Physics
1,31,32,7,3,12,A,Graphic Designers,Graphic Design
20,7,20,31,31,28,S,Rehabilitation Counselors,Rehabilitation Counseling
31,22,24,4,16,31,R,Firefighters,Fire Science
22,8,30,1,31,31,E,Real Estate Agents,Real Estate
40,4,6,22,36,21,R,Automotive Technicians,Automotive Technology
14,21,23,14,24,20,E,Real Estate Agents,Real Estate
5,9,3,2,7,10,C,Administrative Assistants,Office Administration
37,10,0,8,10,14,R,Firefighters,Fire Science
37,16,35,25,36,6,R,Firefighters,Fire Science
17,28,17,21,5,29,C,Accountants,Accounting
11,20,13,7,20,26,C,Administrative Assistants,Office Administration
1,8,1,3,24,23,E,Real Estate Agents,Real Estate
23,23,25,24,2,6,A,Graphic Designers,Graphic Design
30,14,16,15,18,37,C,Accountants,Accounting
11,33,31,11,6,5,I,Physicists,Physics
25,4,14,34,37,6,E,Real Estate Agents,Real Estate
18,13,32,5,2,7,A,Graphic Designers,Graphic Design
34,13,35,6,5,16,A,Graphic Designers,Graphic Design
22,28,3,2,14,21,I,Physicists,Physics
25,26,13,0,17,27,C,Administrative Assistants,Office Administration
16,24,40,11,31,6,A,Musicians,Music
17,20,6,25,17,2,S,Social Workers,Social Work
13,21,31,12,24,14,A,Graphic Designers,Graphic Design
21,8,5,27,29,26,E,Real Estate Agents,Real Estate
35,26,38,2,30,0,A,Graphic Designers,Graphic Design
20,24,40,11,7,0,A,Musicians,Music
7,2,19,26,36,8,E,Sales Managers,Business Administration
19,0,12,0,17,1,R,Firefighters,Fire Science
27,4,36,28,25,11,A,Musicians,Music
23,25,32,0,18,27,A,Graphic Designers,Graphic Design
27,12,8,35,20,26,S,Rehabilitation Counselors,Rehabilitation Counseling
10,31,25,28,14,36,C,Accountants,Accounting
2,3,28,13,1,38,C,Administrative Assistants,Office Administration
25,27,7,38,11,27,S,Rehabilitation Counselors,Rehabilitation Counseling
17,12,40,30,20,0,A,Musicians,Music
14,4,7,16,38,0,E,Real Estate Agents,Real Estate
33,25,15,15,4,19,R,Automotive Technicians,Automotive Technology
32,26,7,32,32,27,R,Automotive Technicians,Automotive Technology
14,8,0,3,27,36,C,Administrative Assistants,Office Administration
36,19,9,3,29,28,R,Firefighters,Fire Science
23,4,40,32,3,8,A,Musicians,Music
22,36,34,28,30,6,I,Physicists,Physics
19,31,13,4,28,37,C,Administrative Assistants,Office Administration
29,15,27,11,21,29,R,Automotive Technicians,Automotive Technology
22,2,35,24,3,31,A,Musicians,Music
40,3,10,10,1,10,R,Automotive Technicians,Automotive Technology
3,27,19,3,40,38,E,Real Estate Agents,Real Estate
3,40,40,30,17,11,I,Physicists,Physics
14,14,7,24,23,9,S,Social Workers,Social Work
9,3,12,18,26,40,C,Administrative Assistants,Office Administration
15,33,20,7,9,40,C,Accountants,Accounting
10,13,29,38,10,4,S,Social Workers,Social Work
0,16,30,35,16,0,S,Rehabilitation Counselors,Rehabilitation Counseling
20,28,18,24,2,17,I,Computer Scientists,Computer Science
25,19,20,36,26,22,S,Social Workers,Social Work
14,17,0,29,9,11,S,Social Workers,Social Work
40,33,35,14,28,19,R,Automotive Technicians,Automotive Technology
29,29,2,10,30,39,C,Accountants,Accounting
31,3,21,4,14,33,C,Administrative Assistants,Office Administration
20,30,11,36,39,39,E,Sales Managers,Business Administration
9,39,27,9,36,23,I,Computer Scientists,Computer Science
25,18,29,40,35,9,S,Social Workers,Social Work
0,2,19,13,4,12,A,Graphic Designers,Graphic Design
3,32,3,15,0,0,I,Physicists,Physics
14,25,20,6,35,11,E,Sales Managers,Business Administration
32,35,7,0,7,31,I,Computer Scientists,Computer Science
34,35,28,20,7,36,C,Accountants,Accounting
21,33,6,0,20,14,I,Computer Scientists,Computer Science
23,30,16,10,18,4,I,Physicists,Physics
17,5,17,27,24,6,S,Social Workers,Social Work
4,19,31,17,25,25,A,Musicians,Music
10,17,17,7,14,33,C,Administrative Assistants,Office Administration
9,32,39,9,1,2,A,Musicians,Music
4,36,31,39,18,31,S,Social Workers,Social Work
0,6,9,10,24,32,C,Accountants,Accounting
28,27,19,34,16,21,S,Social Workers,Social Work
15,23,35,23,22,32,A,Graphic Designers,Graphic Design
7,30,3,8,17,6,I,Physicists,Physics
32,34,21,17,36,34,E,Sales Managers,Business Administration
10,14,8,25,4,26,C,Administrative Assistants,Office Administration
39,40,14,26,12,37,I,Physicists,Physics
16,20,37,2,7,23,A,Graphic Designers,Graphic Design
40,26,27,14,27,0,R,Firefighters,Fire Science
16,37,17,17,37,14,I,Physicists,Physics
37,3,29,36,24,10,R,Automotive Technicians,Automotive Technology
22,7,26,6,5,0,A,Graphic Designers,Graphic Design
30,20,2,8,40,30,E,Sales Managers,Business Administration
15,16,35,13,4,6,A,Graphic Designers,Graphic Design
8,27,9,36,9,5,S,Social Workers,Social Work
8,19,34,35,8,13,S,Social Workers,Social Work
38,38,12,7,0,1,R,Automotive Technicians,Automotive Technology
13,2,32,6,24,12,A,Graphic Designers,Graphic Design
27,31,40,17,15,32,A,Musicians,Music
0,32,29,4,33,35,C,Accountants,Accounting
40,17,40,0,1,7,R,Automotive Technicians,Automotive Technology
30,19,23,8,5,0,R,Firefighters,Fire Science
20,6,13,34,6,16,S,Rehabilitation Counselors,Rehabilitation Counseling
21,39,29,2,22,34,I,Computer Scientists,Computer Science
19,10,32,23,29,18,A,Musicians,Music
35,16,1,18,22,29,R,Firefighters,Fire Science
0,13,10,25,12,37,C,Accountants,Accounting
33,13,36,10,11,5,A,Musicians,Music
37,14,37,18,26,30,R,Firefighters,Fire Science
35,18,32,25,13,18,R,Automotive Technicians,Automotive Technology
30,25,6,1,2,33,C,Administrative Assistants,Office Administration
5,16,35,19,21,12,A,Graphic Designers,Graphic Design
24,27,26,29,4,32,C,Accountants,Accounting
28,14,23,4,21,23,R,Firefighters,Fire Science
1,9,23,19,19,2,A,Graphic Designers,Graphic Design
25,17,26,10,4,6,A,Musicians,Music
34,35,39,31,6,10,A,Musicians,Music
40,32,16,25,27,2,R,Firefighters,Fire Science
25,9,16,1,21,0,R,Automotive Technicians,Automotive Technology
39,9,35,21,38,14,R,Automotive Technicians,Automotive Technology
16,6,11,30,3,18,S,Social Workers,Social Work
13,32,36,20,28,5,A,Graphic Designers,Graphic Design
29,21,8,9,35,19,E,Real Estate Agents,Real Estate
23,24,23,38,4,25,S,Rehabilitation Counselors,Rehabilitation Counseling
18,34,1,6,7,40,C,Accountants,Accounting
21,23,32,30,6,24,A,Musicians,Music
6,10,40,4,5,30,A,Graphic Designers,Graphic Design
8,28,0,38,7,4,S,Social Workers,Social Work
6,34,13,9,12,29,I,Physicists,Physics
35,2,26,38,6,17,S,Social Workers,Social Work
7,4,21,4,29,14,E,Real Estate Agents,Real Estate
8,21,16,20,8,27,C,Accountants,Accounting
20,40,17,10,31,28,I,Physicists,Physics
16,40,29,27,1,19,I,Physicists,Physics
26,24,22,40,16,39,S,Social Workers,Social Work
11,31,27,12,30,6,I,Computer Scientists,Computer Science
17,37,0,1,37,29,I,Physicists,Physics
16,35,21,19,21,14,I,Physicists,Physics
18,7,34,12,15,4,A,Graphic Designers,Graphic Design
5,33,26,2,3,27,I,Computer Scientists,Computer Science
5,40,32,15,16,5,I,Physicists,Physics
19,24,5,23,38,28,E,Real Estate Agents,Real Estate
25,33,11,25,12,5,I,Physicists,Physics
31,4,15,22,23,39,C,Administrative Assistants,Office Administration
5,37,10,21,16,23,I,Computer Scientists,Computer Science
29,11,39,15,39,20,A,Graphic Designers,Graphic Design
9,4,25,40,31,33,S,Social Workers,Social Work
13,34,5,13,30,3,I,Physicists,Physics
22,23,19,39,6,18,S,Social Workers,Social Work
34,32,16,21,19,38,C,Administrative Assistants,Office Administration
7,22,36,28,19,27,A,Musicians,Music
29,13,4,20,25,1,R,Automotive Technicians,Automotive Technology
15,8,40,20,38,1,A,Musicians,Music
16,40,24,32,30,19,I,Physicists,Physics
17,13,24,3,3,30,C,Administrative Assistants,Office Administration
13,13,38,0,30,10,A,Musicians,Music
35,0,17,30,25,35,R,Automotive Technicians,Automotive Technology
26,15,8,30,26,21,S,Social Workers,Social Work
12,38,17,33,13,38,I,Physicists,Physics
3,22,23,22,35,39,C,Accountants,Accounting
16,0,33,33,40,40,E,Sales Managers,Business Administration
3,13,14,13,10,29,C,Administrative Assistants,Office Administration
1,8,33,19,33,24,A,Musicians,Music
36,7,28,24,38,14,E,Sales Managers,Business Administration
12,40,0,37,34,37,I,Computer Scientists,Computer Science
0,2,22,36,30,28,S,Social Workers,Social Work
31,26,4,1,27,25,R,Automotive Technicians,Automotive Technology
9,33,12,11,0,40,C,Administrative Assistants,Office Administration
33,29,38,1,36,19,A,Musicians,Music
36,16,1,19,13,16,R,Firefighters,Fire Science
39,14,4,17,19,13,R,Firefighters,Fire Science
32,12,23,40,19,9,S,Social Workers,Social Work
26,30,22,12,36,34,E,Sales Managers,Business Administration
14,31,27,27,36,32,E,Real Estate Agents,Real Estate
3,16,14,26,3,13,S,Rehabilitation Counselors,Rehabilitation Counseling
3,5,24,1,40,16,E,Sales Managers,Business Administration
38,6,1,9,29,31,R,Automotive Technicians,Automotive Technology
21,21,25,2,31,26,E,Sales Managers,Business Administration
16,23,19,21,17,13,I,Computer Scientists,Computer Science
21,4,20,20,5,40,C,Accountants,Accounting
3,24,4,37,28,32,S,Social Workers,Social Work
5,31,18,7,4,4,I,Physicists,Physics
0,1,35,18,5,30,A,Graphic Designers,Graphic Design
19,12,30,32,17,35,C,Administrative Assistants,Office Administration
38,33,40,38,30,7,A,Musicians,Music
26,19,16,13,9,14,R,Automotive Technicians,Automotive Technology
15,26,31,26,5,30,A,Musicians,Music
17,20,34,20,29,17,A,Graphic Designers,Graphic Design
3,31,19,8,32,11,E,Real Estate Agents,Real Estate
5,20,22,5,1,21,A,Graphic Designers,Graphic Design
26,38,38,40,13,24,S,Social Workers,Social Work
33,7,14,39,30,21,S,Social Workers,Social Work
19,33,2,1,19,6,I,Physicists,Physics
39,7,37,26,14,28,R,Automotive Technicians,Automotive Technology
17,9,9,6,28,9,E,Real Estate Agents,Real Estate
15,16,1,19,24,17,E,Real Estate Agents,Real Estate
8,33,11,0,36,6,E,Real Estate Agents,Real Estate
14,16,38,12,22,16,A,Musicians,Music
17,8,33,22,10,11,A,Graphic Designers,Graphic Design
40,10,19,37,3,7,R,Automotive Technicians,Automotive Technology
24,1,27,39,33,37,S,Social Workers,Social Work
18,2,10,19,28,22,E,Sales Managers,Business Administration
40,25,11,16,7,17,R,Automotive Technicians,Automotive Technology
26,32,6,1,39,23,E,Real Estate Agents,Real Estate
18,0,23,23,21,37,C,Administrative Assistants,Office Administration
33,35,35,8,13,26,I,Physicists,Physics
5,27,26,35,5,27,S,Rehabilitation Counselors,Rehabilitation Counseling
13,27,9,31,33,4,E,Real Estate Agents,Real Estate
26,1,36,29,33,2,A,Musicians,Music
17,38,7,16,40,5,E,Sales Managers,Business Administration
40,22,38,3,19,20,R,Firefighters,Fire Science
1,23,11,11,15,30,C,Accountants,Accounting
30,14,17,19,28,21,R,Firefighters,Fire Science
23,31,20,24,13,5,I,Physicists,Physics
21,25,34,15,23,38,C,Accountants,Accounting
2,33,19,26,8,9,I,Computer Scientists,Computer Science
15,31,5,17,2,3,I,Physicists,Physics
3,24,10,39,9,4,S,Rehabilitation Counselors,Rehabilitation Counseling
38,4,17,0,38,28,R,Firefighters,Fire Science
5,21,1,7,22,32,C,Accountants,Accounting
31,7,11,16,8,4,R,Automotive Technicians,Automotive Technology
26,38,5,37,16,37,I,Physicists,Physics
33,11,26,21,40,40,E,Real Estate Agents,Real Estate
9,19,7,25,34,24,E,Real Estate Agents,Real Estate
10,18,37,36,22,23,A,Musicians,Music
30,16,26,27,12,27,R,Firefighters,Fire Science
8,9,28,7,37,7,E,Sales Managers,Business Administration
27,23,0,2,20,9,R,Automotive Technicians,Automotive Technology
17,25,17,20,0,16,I,Physicists,Physics
5,13,4,15,3,5,S,Social Workers,Social Work
37,34,25,24,22,21,R,Firefighters,Fire Science
